scenarioId,mode,repetitionIndex,status,bestFitness,hardViolations,softPenalty,generationsRun,stagnatedEarly,firstFeasibleGeneration,preGADurationMs,ssaDurationMs,gaDurationMs,totalDurationMs,ssaWouldHavePrunedCoordinates,ssaWouldHaveDeclaredInfeasible
feasible-tight,without-ssa,8,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2228,2229,6,false
feasible-tight,without-ssa,9,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2214,2214,6,false
feasible-tight,without-ssa,10,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2197,2197,6,false
feasible-tight,without-ssa,11,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2257,2257,6,false
feasible-tight,without-ssa,12,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2262,2263,6,false
feasible-tight,without-ssa,13,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2273,2273,6,false
feasible-tight,without-ssa,14,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2262,2262,6,false
feasible-tight,without-ssa,15,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2211,2211,6,false
feasible-tight,without-ssa,16,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2228,2228,6,false
feasible-tight,without-ssa,17,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2191,2191,6,false
feasible-tight,without-ssa,18,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2203,2203,6,false
feasible-tight,without-ssa,19,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2218,2219,6,false
feasible-tight,without-ssa,20,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2240,2240,6,false
feasible-tight,without-ssa,21,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2203,2203,6,false
feasible-tight,without-ssa,22,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2223,2223,6,false
feasible-tight,without-ssa,23,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2195,2195,6,false
feasible-tight,without-ssa,24,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2200,2200,6,false
feasible-tight,without-ssa,25,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2239,2239,6,false
feasible-tight,without-ssa,26,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2212,2212,6,false
feasible-tight,without-ssa,27,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2219,2220,6,false
feasible-tight,without-ssa,28,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2204,2204,6,false
feasible-tight,without-ssa,29,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,2224,2225,6,false
borderline-ac3-prunes,with-ssa,0,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4492,4492,17,false
borderline-ac3-prunes,with-ssa,1,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4522,4522,17,false
borderline-ac3-prunes,with-ssa,2,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4511,4512,17,false
borderline-ac3-prunes,with-ssa,3,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4466,4466,17,false
borderline-ac3-prunes,with-ssa,4,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4430,4431,17,false
borderline-ac3-prunes,with-ssa,5,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4478,4478,17,false
borderline-ac3-prunes,with-ssa,6,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4497,4498,17,false
borderline-ac3-prunes,with-ssa,7,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4466,4466,17,false
borderline-ac3-prunes,with-ssa,8,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4430,4431,17,false
borderline-ac3-prunes,with-ssa,9,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4528,4528,17,false
borderline-ac3-prunes,with-ssa,10,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4455,4455,17,false
borderline-ac3-prunes,with-ssa,11,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4565,4565,17,false
borderline-ac3-prunes,with-ssa,12,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4622,4622,17,false
borderline-ac3-prunes,with-ssa,13,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4655,4655,17,false
borderline-ac3-prunes,with-ssa,14,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4516,4516,17,false
borderline-ac3-prunes,with-ssa,15,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4436,4436,17,false
borderline-ac3-prunes,with-ssa,16,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4633,4633,17,false
borderline-ac3-prunes,with-ssa,17,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4497,4497,17,false
borderline-ac3-prunes,with-ssa,18,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4525,4525,17,false
borderline-ac3-prunes,with-ssa,19,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4481,4481,17,false
borderline-ac3-prunes,with-ssa,20,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4520,4520,17,false
borderline-ac3-prunes,with-ssa,21,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4527,4527,17,false
borderline-ac3-prunes,with-ssa,22,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4524,4524,17,false
borderline-ac3-prunes,with-ssa,23,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4523,4523,17,false
borderline-ac3-prunes,with-ssa,24,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4532,4532,17,false
borderline-ac3-prunes,with-ssa,25,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4530,4530,17,false
borderline-ac3-prunes,with-ssa,26,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4565,4565,17,false
borderline-ac3-prunes,with-ssa,27,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4578,4579,17,false
borderline-ac3-prunes,with-ssa,28,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4460,4460,17,false
borderline-ac3-prunes,with-ssa,29,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4487,4487,17,false
borderline-ac3-prunes,without-ssa,0,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4516,4516,17,false
borderline-ac3-prunes,without-ssa,1,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4493,4493,17,false
borderline-ac3-prunes,without-ssa,2,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4490,4490,17,false
borderline-ac3-prunes,without-ssa,3,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4495,4495,17,false
borderline-ac3-prunes,without-ssa,4,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4516,4516,17,false
borderline-ac3-prunes,without-ssa,5,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4520,4520,17,false
borderline-ac3-prunes,without-ssa,6,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4525,4526,17,false
